English;SK1;SK2;SK3;SK4
spin;tocenie;splietat;snovat;
quote;uviest cenu;citovat;spomenut;uviest
meaningless;bezvyznamny;nemajuci zmysel;bezdovodny;nezmyselny
fungibility;zastupitelnost;;;
impress;zaposobit;dojem;ohromit;upozornovat
dickhead;blbec;zadubenec;;
overdue;oneskoreny;neuhradeny;nevyhnutny;potrebny
yet;napriek tomu;ale;pritom;este
imperative;nevyhnutne;nutne;;
cornerstone;zakladnym kamenom;kamen;;
either;jeden aj druhy;jeden alebo druhy;ani;tiez
underpins;podporuje;;;
inspect;skontrolocat;nahliadnut do;prezriet;nazerat
fudging;prekrucanie;vyhnut sa;;
arbitrary;lubovolne;svojvolne;lubovolny;svojvolny
freak;cudak;netvor;napad;vrtoh
preach;kazat;moralizovat;vyzyvat;presadit
dissipate;rozptylit;vytratit sa;premrhat;premarnit
conceivably;snad;;;
peg;udrzat na urcitej urovni;prichytit kolikom;hak;kolik
feasibly;lahko;;;
feasible;mozne;prijatelne;uskutocnitelne;realizovatelne
insight;nahlad;;;
artificial;umely;nahradny;falosny;
falsely;falosne;falosny;nepravdivy;
